Category,Num_order,Revenue
cama_mesa_banho,9272,1692714.28
beleza_saude,8646,1620684.04
informatica_acessorios,6529,1549252.47
moveis_decoracao,6307,1394466.93
relogios_presentes,5493,1387046.31
esporte_lazer,7529,1349252.93
utilidades_domesticas,5743,1069787.97
automotivo,3809,833610.84
ferramentas_jardim,3448,810614.93
cool_stuff,3559,744649.32
