date,order_count,holiday
2017-01-05,32,False
2017-01-06,4,False
2017-01-07,4,False
2017-01-08,6,False
2017-01-09,5,False
2017-01-10,6,False
2017-01-11,12,False
2017-01-12,13,False
2017-01-13,12,False
2017-01-14,18,False
2017-01-15,14,False
2017-01-16,19,False
2017-01-17,32,False
2017-01-18,33,False
2017-01-19,29,False
2017-01-20,29,False
2017-01-21,24,False
2017-01-22,31,False
2017-01-23,39,False
2017-01-24,40,False
2017-01-25,63,False
2017-01-26,86,False
2017-01-27,62,False
2017-01-28,29,False
2017-01-29,35,False
2017-01-30,53,False
2017-01-31,70,False
2017-02-01,73,False
2017-02-02,69,False
2017-02-03,60,False
2017-02-04,67,False
2017-02-05,75,False
2017-02-06,85,False
2017-02-07,112,False
2017-02-08,95,False
2017-02-09,77,False
2017-02-10,66,False
2017-02-11,49,False
2017-02-12,64,False
2017-02-13,78,False
2017-02-14,76,False
2017-02-15,62,False
2017-02-16,55,False
2017-02-17,46,False
2017-02-18,54,False
2017-02-19,40,False
2017-02-20,63,False
2017-02-21,41,False
2017-02-22,63,False
2017-02-23,59,False
2017-02-24,64,False
2017-02-25,43,False
2017-02-26,46,False
2017-02-27,43,False
2017-02-28,55,False
2017-03-01,99,False
2017-03-02,72,False
2017-03-03,74,False
2017-03-04,80,False
2017-03-05,74,False
2017-03-06,105,False
2017-03-07,82,False
2017-03-08,79,False
2017-03-09,93,False
2017-03-10,88,False
2017-03-11,71,False
2017-03-12,64,False
2017-03-13,111,False
2017-03-14,99,False
2017-03-15,108,False
2017-03-16,103,False
2017-03-17,65,False
2017-03-18,73,False
2017-03-19,56,False
2017-03-20,119,False
2017-03-21,97,False
2017-03-22,105,False
2017-03-23,114,False
2017-03-24,79,False
2017-03-25,76,False
2017-03-26,64,False
2017-03-27,111,False
2017-03-28,103,False
2017-03-29,74,False
2017-03-30,74,False
2017-03-31,70,False
2017-04-01,68,False
2017-04-02,65,False
2017-04-03,72,False
2017-04-04,96,False
2017-04-05,96,False
2017-04-06,96,False
2017-04-07,85,False
2017-04-08,68,False
2017-04-09,73,False
2017-04-10,87,False
2017-04-11,78,False
2017-04-12,63,False
2017-04-13,60,False
2017-04-14,54,False
2017-04-15,52,False
2017-04-16,49,False
2017-04-17,65,False
2017-04-18,71,False
2017-04-19,97,False
2017-04-20,98,False
2017-04-21,68,False
2017-04-22,84,False
2017-04-23,88,False
2017-04-24,115,False
